count,firstDocument,lastDocument,nextUrl,resultItemList.detailUrl,resultItemList.jobTitle,resultItemList.company,resultItemList.location,resultItemList.date,,,
39,8673,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Software+Engineering&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10104492/12345-210?src=19,Amazon Software Development Engineer,ManpowerGroup Solutions,Seattle,,,
40,8673,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Software+Engineering&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTL48417/16RNATOPS033?src=19,Engineer IV,,,,,
41,8673,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Software+Engineering&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10518163/723818?src=19,Senior Technical Product Manager,Cylance,Irvine,,,
42,8673,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Software+Engineering&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/90970141/741998?src=19,IT Technician,The Ranch at Rock Creek,Philipsburg,,,
43,8673,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Software+Engineering&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10127844a/33650-en_US?src=19,Business Planning and Consolidation Team Member,New York Life Insurance Company,Dallas,,,
44,8673,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Software+Engineering&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/ngitbot/16024421?src=19,Engineer Embedded Software 4,NORTHROP GRUMMAN,Woodland Hills,,,
45,8673,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Software+Engineering&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10301628/469116?src=19,Java Developer,enVista LLC,Carmel,,,
46,8673,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Software+Engineering&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10521201/sdetLA?src=19,Software Engineer in Test - Entry Level,LocalVox Media,Los Angeles,,,
47,8673,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Software+Engineering&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/ngitbot/16015684?src=19,Cyber Software Engineer 5,NORTHROP GRUMMAN,Annapolis Junction,,,
48,8673,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Software+Engineering&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10443934/739009?src=19,Business Analyst,Evolutyz Corp,Richardson,,,
49,8673,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Software+Engineering&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10112507/5094-28-MH1253?src=19,Senior Software Engineer - Networking (Wifi),Agile,Atlanta,,,
50,8673,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Software+Engineering&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/apar/624373?src=19,DEVOPS ENGINEER,Ness Software Engineering Services,Chandler,,,
count,firstDocument,lastDocument,resultItemList.detailUrl,resultItemList.jobTitle,resultItemList.company,resultItemList.location,resultItemList.date,,,,
1,30,1,30,http://www.dice.com/job/result/90833617/727587?src=19,Senior Software Testing Specialist (ITC 1020),Louisiana Economic Development,Bossier City,,,,
2,30,1,30,http://www.dice.com/job/result/cybercod/NNG-123041267?src=19,Lead Data Scientist,CyberCoders,Los Angeles,,,,
3,30,1,30,http://www.dice.com/job/result/RTX1ba47c/4724197?src=19,Information Technology Manager,City of El Cerrito,El Cerrito,,,,
4,30,1,30,http://www.dice.com/job/result/90969740/BUS-16-00013?src=19,Business Intelligence Analyst,BCBSAZ Advantage,Phoenix,,,,
5,30,1,30,http://www.dice.com/job/result/10106050/1600003679?src=19,Technical Business Analyst,ICF,Fairfax,,,,
6,30,1,30,http://www.dice.com/job/result/10294672/JD_Quant?src=19,Quantitative Strategist,Futures Group IT LLC.,New York,,,,
7,30,1,30,http://www.dice.com/job/result/90833617/727585?src=19,Senior Professional Test Specialist (ITC 744),Louisiana Economic Development,Bossier City,,,,
8,30,1,30,http://www.dice.com/job/result/cybercod/KSK-126801722?src=19,Mechanical Engineer - Boiler Design,CyberCoders,Millbrook,,,,
9,30,1,30,http://www.dice.com/job/result/chenj001/16-03950?src=19,Data Scientist,Chenoa Information Services,TITUSVILLE,,,,
10,30,1,30,http://www.dice.com/job/result/10121728/JR-Py-14?src=19,Python Algorithm Developer,Cypress Group,New York,,,,
11,30,1,30,http://www.dice.com/job/result/CVTY/27745004265321618?src=19,Data Science Analyst,Aetna,Boston,,,,
12,30,1,30,http://www.dice.com/job/result/90833617/715670?src=19,Associate Engineer - Global Operations Leadership Development (GOLD),Louisiana Economic Development,Monroe,,,,
13,30,1,30,http://www.dice.com/job/result/90833617/676377?src=19,GBS Consulting By Degrees Analytics Consultant,Louisiana Economic Development,Baton Rouge,,,,
14,30,1,30,http://www.dice.com/job/result/RTL000349/402973?src=19,Site Reliability Engineer,Audible,Newark,,,,
15,30,1,30,http://www.dice.com/job/result/10114776/SMA00005?src=19,Supervisor,,,,,,
16,30,1,30,http://www.dice.com/job/result/10114838/739409?src=19,Account Operations Specialist,Hire Velocity,,,,,
17,30,1,30,http://www.dice.com/job/result/cybercod/GL1-128088256?src=19,Director of Customer Analytics - Strategic thought leader,CyberCoders,El Segundo,,,,
18,30,1,30,http://www.dice.com/job/result/10200989/156162?src=19,Principal Systems Engineer Active Secret Clearance,HKA Enterprises,Norfolk,,,,
19,30,1,30,http://www.dice.com/job/result/10116711/PUR010013?src=19,Supply Chain Analyst - SQL Programmer,MEDLINE INDUSTRIES,Mundelein,,,,
20,30,1,30,http://www.dice.com/job/result/opensyst/31678?src=19,Python Quant Developer,Open Systems Technologies,New York,,,,
21,30,1,30,http://www.dice.com/job/result/10313788/248027?src=19,Examiner II/Senior Examiner - LOB,Federal Reserve Bank,Cleveland,,,,
22,30,1,30,http://www.dice.com/job/result/cybercod/NNG-119917240?src=19,Data Scientist - Junior-Senior Levels!,CyberCoders,Los Angeles,,,,
23,30,1,30,http://www.dice.com/job/result/90833617/688621?src=19,Java Developer,Louisiana Economic Development,Bossier City,,,,
24,30,1,30,http://www.dice.com/job/result/10507690/SMMA1?src=19,Principal Architect,Windsor Partners,boston,,,,
25,30,1,30,http://www.dice.com/job/result/10197369/AScplus?src=19,Senior C++/Linux Programmer with Strong Math - Exceptional Career Opportunity,Hamilton Technical Personnel,Jersey City,,,,
26,30,1,30,http://www.dice.com/job/result/90833617/741806?src=19,Healthcare Data Analyst,Louisiana Economic Development,Lafayette,,,,
27,30,1,30,http://www.dice.com/job/result/cybercod/BP2-131950321?src=19,Physics Lead Instructor - Video Instruction,,,,,,
28,30,1,30,http://www.dice.com/job/result/10366547/616375?src=19,Lead Node.js Software Engineer / Architect (up to $160k,,,,,,
29,30,1,30,http://www.dice.com/job/result/10427675/JE-C-DS?src=19,Data Scientist,MatchPoint Consulting Group,Wayne,,,,
30,30,1,30,http://www.dice.com/job/result/10208346H/2412_Ora_NJ?src=19,Sr. Quant Developer,Collabera,Jersey City,,,,
count,firstDocument,lastDocument,nextUrl,resultItemList.detailUrl,resultItemList.jobTitle,resultItemList.company,resultItemList.location,resultItemList.date,,,
1,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10452799/426122?src=19,Project Manager - Need Local to Colorado,Paramount Software Solutions,,,,
2,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cxtechsj1/600561?src=19,Desktop Support,Nelson Technology,Modesto,,,
3,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10106768/29878?src=19,IBM InfoSphere MDM Programmer,World Technologies,,,,
4,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10209855/590471?src=19,Senior Big Data Architect,Daugherty Business Solutions,Saint Louis,,,
5,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10285720a/19462?src=19,IT Recruiter,TAD PGS,,,,
6,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/Edgeny/TechSuppNetwork?src=19,Technical Support Engineer/Network Products,Edge Technology Services,,,,
7,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10110992/728930?src=19,Design Verification Engineer -7572,Xpeerant Inc.,San Diego,,,
8,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10285720a/22296?src=19,Software Engineer,TAD PGS,,,,
9,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/CVTY/27745004286371345?src=19,Medical Claim Analytics- Project Lead,Aetna,New Albany,,,
10,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10285720a/20466?src=19,Processor (Tube Assembly) - 1st Shift,TAD PGS,,,,
11,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX156c62/731554?src=19,Client Onboarding Engineer,Dataprise,,,,
12,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10285720a/22491?src=19,Processor (Photo Cathode) - 3rd Shift,TAD PGS,,,,
13,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10285720a/18681?src=19,Mid-level Intelligence Analyst (Synchronize Cyber Intelligence E,TAD PGS,,,,
14,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10111962/QAH-09?src=19,QA Engineer-Datawarehouse/ BI,Talent Space,,,,
15,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10208346Q/32_39010_OBIEE?src=19,OBIEE Developer,Collabera,Temple Terrace,,,
16,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/fergsn/26552BR?src=19,IT Business Analyst - Order Management,Ferguson,Newport News,,,
17,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10143403/731458?src=19,Senior Project Manager  Cisco Unified Communications,Infinity Consulting Solutions,Teterboro,,,
18,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10189947/160000KA?src=19,Test Automation Engineer,Intelligrated Software,Alpharetta,,,
19,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/accperny/50808885?src=19,Network Specialist/ Engineer All New!,Access Staffing,Alpharetta,,,
20,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10108942/12529?src=19,ETL Developer  - 12529,Maxonic,,,,
21,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/techa001d/10-joe?src=19,Mobil Facilities Technician for our Roving Team (10-joe),@tech Consulting Group,campbell,,,
22,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/accperny/7079909?src=19,Support Specialist,Access Staffing,Houston,,,
23,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/wolverin/781?src=19,Technical Support Technician,Wolverine Technical Staffing,,,,
24,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/CVTY/27745004279101331?src=19,Senior Engineer,Aetna,Phoenix,,,
25,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10110992/691656?src=19,SOC Synth/STA Engineer -6293,Xpeerant Inc.,San Jose,,,
26,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10415646/719956?src=19,Associate Field Service Engineer (Cincinnati,,,,,
27,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/capricor/710384?src=19,Microwave Enginer/ RF Engineer,Capricorn Systems,,,,
28,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10189947/160000FP?src=19,Sr Virtualization Engineer,Intelligrated Headquarters LLC,Cincinnati,,,
29,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10285720a/21876?src=19,Intelligence Planning & Integration Analyst (Posture),TAD PGS,,,,
30,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10204393/18372BR?src=19,Senior Associate - Business Consulting,Infosys,New York,,,
31,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX16acee/ESC618?src=19,Sr MES Operations Leader,ExpertHiring,Whitikers,,,
32,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/bluca004/701700?src=19,Test Delivery Manager,Blue Star Infotech America Inc.,Phoenix,,,
33,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10285720a/22326?src=19,Assembler B,TAD PGS,,,,
34,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10118384/Req-1173?src=19,Sr Manager Analytics/Marketing Research,Britech Group,,,,
35,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/90661934/730837?src=19,Core JavaScript Developer with Videojs,,,,,
36,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/kimtecir/MC101278?src=19,Healthcare Director / Director of Quality Performance / HEDIS,Advantex Professional Services,Orange,,,
37,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10114756a/740646?src=19,Project Manager,Kelly IT,Naperville,,,
38,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10285720a/19489?src=19,Junior Analyst,TAD PGS,,,,
39,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10122753/94916?src=19,.NET Programmer Analyst,Ciber,Livonia,,,
40,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10109419/1583707?src=19,Test Engineer (TS/SCI with CI Polygraph Clearance Required),Hewlett Packard Enterprise Company,Herndon,,,
41,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10496857/SD-Linuxadmin?src=19,Linux Administrator,Vanyil LLC,Bellevue,,,
42,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/adrga001/HCM-OCloudFunc?src=19,Oracle ERP Cloud - Functional Consultant,Sierra-Cedar,,,,
43,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cxcrstff/961852?src=19,Financial Analyst,s.com,Chicago,,,
44,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX170a86/651392?src=19,IT Manager,Total Quality Systems,Roy,,,
45,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/techa001d/-G-Mrch-IT?src=19,IT Manager to Director,@tech Consulting Group,Hollister,,,
46,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10117921/707994?src=19,Application Support Analyst- Web Development,National Marrow Donor Program,Minneapolis,,,
47,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10203295/270?src=19,Web Content Editor,Net ESolutions Corporation (NETE),Bethesda,,,
48,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cxaeteaj/706963?src=19,Technical Writer,AETEA Information Technology Inc,New York City,,,
49,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10285720a/22278?src=19,Mechanical Design Engineer,TAD PGS,,,,
50,884,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=The+Blank+Canvas&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10122218/720686?src=19,UI/UX Designer,Zar Technology Consulting,Sunrise,,,
count,firstDocument,lastDocument,nextUrl,resultItemList.detailUrl,resultItemList.jobTitle,resultItemList.company,resultItemList.location,resultItemList.date,,,
1,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10114406/715940?src=19,Security Consultant - Red Team,Velocity Resource Group,Richardson,,,
2,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/CVTY/27745004286371345?src=19,Medical Claim Analytics- Project Lead,Aetna,New Albany,,,
3,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX10b151/627599?src=19,Manager of Information Technology Training,The Maryland Judiciary,Annapolis,,,
4,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/CVTY/27745004279101331?src=19,Senior Engineer,Aetna,Phoenix,,,
5,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10122753/94600?src=19,Technical Architect & Lead Specialist,Ciber,Durham,,,
6,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10122753/94916?src=19,.NET Programmer Analyst,Ciber,Livonia,,,
7,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10202637/21048?src=19,IT Resources Analyst,City of Virginia Beach,Virginia Beach,,,
8,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX1ba824/197904?src=19,AV-IT Services Team Leader,University of Rochester,Rochester,,,
9,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10114776/BCB003QK?src=19,IT Engineer I,BCBSM,Detroit,,,
10,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTL152550/1005312242172?src=19,Network Engineer,Ledgent Tech,Dallas,,,
11,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/sunrise/16-13598?src=19,Education Specialist - Blood Bank,Sunrise Systems,,,,
12,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10486611/635662?src=19,Workday Business Analyst,TOP Consulting,Columbus,,,
13,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10115646/1040468?src=19,Director,,,,,
14,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cybercod/CMM-131374746?src=19,PE Electrical Engineer,CyberCoders,Saint Louis,,,
15,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10336985/721440?src=19,Instructional Designer/curriculum designer,MNK Infotech,,,,
16,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10347650/DCT092116-342?src=19,Senior Network Engineer,Austin Fraser USA,Tampa,,,
17,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/itca001/16-07282?src=19,Data Analyst (Statistical and Business Analysis),Ascent,Rockville,,,
18,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/softwinc/Softworld_2221-180?src=19,Sr Systems Engineer,Softworld Inc,Atlanta,,,
19,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/softwinc/Softworld_2222-716?src=19,Enterprise Architect/ Software Developer,Softworld Inc,Warner Robins,,,
20,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10118964/22986-12?src=19,Accountant Lead,Alion Science and Technology,Fairfax,,,
21,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/advlearn/232949?src=19,UI Product Designer,Renaissance Learning,,,,
22,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10110787/51633?src=19,Senior Business Consultant,,,,,
23,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10117595/AW7846XCGI?src=19,Peoplesoft FSCM Consultant,Xtreme Consulting Group,,,,
24,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10116144/Davis_227288-371?src=19,Senior Embedded Software Engineer,The Davis Companies,Watertown,,,
25,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10313788/248246?src=19,IT Project Manager,Federal Reserve Bank,Cleveland,,,
26,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10116144/Davis_227480-313?src=19,Sr. Embedded Software Engineer,The Davis Companies,Framingham,,,
27,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10115646/1040463?src=19,Senior Director,,,,,
28,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/90833617/623853?src=19,Windows Sys Admin-Exchange/Good Mobile-SC & TSA EOD Req. (ITC-460),Louisiana Economic Development,Bossier City,,,
29,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10522330/724920?src=19,.NET developers with Education Data Systems,SEA Group,,,,
30,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/softwinc/Softworld_2222-3?src=19,Desktop Technician,Softworld Inc,Louisville,,,
31,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX16f1ff/4723361?src=19,Programmer Analyst III,CITY OF FRESNO,Fresno,,,
32,99,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Education&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10118964/23088-605?src=19,Contract Administrator Lead,Alion Science and Technology,Alexandria,,,
